,comment,text_clear,negative_proba
125,"Неплохо, весело, хотелось бы разнообразия в музыкальном репертуаре. Обслуживание на достойном уровне",неплохо весело хотелось разнообразия музыкальном репертуаре обслуживание достойном уровне,0.11693984122201184
126,Отличное атмосферное место,отличное атмосферное место,0.14508798391860744
127,Лучший и единственный в городе! ,лучший единственный городе,0.22663951802403248
128,"Стильное, модное и интересное место. Множество фото локаций для эффектных фото. Стоит побывать.",стильное модное интересное место множество фото локаций эффектных фото стоит побывать,0.10154345575432444
129,"Прикольное новое пространство, Куйбышев лучшие) ",прикольное новое пространство куйбышев лучшие,0.072242349069228
130,"Такого в Самаре еще не было) Атмосферное пространство, в котором приятно находиться и не хочется уходить)",такого самаре атмосферное пространство котором приятно находиться хочется уходить,0.5546209445459922
131,Недавно открылся бар Куйбышев. Обязателен к посещению. Хорошая кухня и музыка.,недавно открылся бар куйбышев обязателен посещению хорошая кухня музыка,0.1724481934731581
132,"Очень уютное и красиво там,стильно и модно.",очень уютное красиво стильно модно,0.08175494295070873
133,"Заведения,  тусовка,  бары, движуха - вот так бы описала станкозавод",заведения тусовка бары движуха описала станкозавод,0.5009376486865388
134,Круто ,круто,0.10181449173686641
